[03:01:51] [INFO] received Windows console close event; shutting log-core down
[03:02:23] [INFO] received Windows console close event; shutting log-core down
[03:02:49] [INFO] received Windows console close event; shutting log-core down
[03:03:20] [INFO] received Windows console close event; shutting log-core down
[03:03:30] [INFO] received Windows console close event; shutting log-core down
[03:07:58] [INFO] received Windows console close event; shutting log-core down
[03:09:27] [INFO] received Windows console close event; shutting log-core down
[03:10:34] [INFO] received Windows console close event; shutting log-core down
[03:18:50] [INFO] received Windows console close event; shutting log-core down
[03:20:09] [INFO] received Windows console close event; shutting log-core down
[03:37:41] [INFO] received Windows console close event; shutting log-core down
[03:38:34] [INFO] received Windows console close event; shutting log-core down
[03:39:44] [INFO] received Windows console close event; shutting log-core down
[03:39:56] [INFO] received Windows console close event; shutting log-core down
[03:40:07] [INFO] received Windows console close event; shutting log-core down
[03:40:17] [INFO] received Windows console close event; shutting log-core down
[03:40:20] [INFO] received Windows console close event; shutting log-core down
[03:49:31] [INFO] received Windows console close event; shutting log-core down
[03:50:12] [INFO] received Windows console close event; shutting log-core down
[03:50:31] [INFO] received Windows console close event; shutting log-core down
[03:50:48] [INFO] received Windows console close event; shutting log-core down
[03:52:21] [INFO] received Windows console close event; shutting log-core down
[03:52:57] [INFO] received Windows console close event; shutting log-core down
[04:52:44] [INFO] received Windows console close event; shutting log-core down
[05:10:22] [INFO] received Windows console close event; shutting log-core down
[05:11:01] [INFO] received Windows console close event; shutting log-core down
[05:28:25] [INFO] received Windows console close event; shutting log-core down
[22:56:43] [INFO] received Windows console close event; shutting log-core down
[23:00:36] [INFO] received Windows console close event; shutting log-core down
[23:04:53] [INFO] received Windows console close event; shutting log-core down
[23:12:36] [INFO] received Windows console close event; shutting log-core down
[20:48:56] [INFO] received Windows console close event; shutting log-core down
[20:52:05] [INFO] received Windows console close event; shutting log-core down
[20:56:08] [INFO] received Windows console close event; shutting log-core down
[22:24:36] [INFO] received Windows console close event; shutting log-core down
[22:27:38] [INFO] received Windows console close event; shutting log-core down
[22:46:02] [INFO] received Windows console close event; shutting log-core down
[22:55:10] [INFO] received Windows console close event; shutting log-core down
[23:03:24] [INFO] received Windows console close event; shutting log-core down
[16:53:04] [INFO] received Windows console close event; shutting log-core down
[16:59:05] [INFO] received Windows console close event; shutting log-core down
[17:11:17] [INFO] received Windows console close event; shutting log-core down
[17:11:26] [INFO] received Windows console close event; shutting log-core down
[18:03:37] [INFO] received Windows console close event; shutting log-core down
[18:11:27] [INFO] received Windows console close event; shutting log-core down
[18:12:20] [INFO] received Windows console close event; shutting log-core down
[18:23:43] [INFO] received Windows console close event; shutting log-core down
[18:25:48] [INFO] received Windows console close event; shutting log-core down
[16:26:59] [INFO] received Windows console close event; shutting log-core down
[16:37:29] [INFO] received Windows console close event; shutting log-core down
[17:51:18] [INFO] received Windows console close event; shutting log-core down
[20:55:11] [INFO] received Windows console close event; shutting log-core down
[21:19:54] [INFO] received Windows console close event; shutting log-core down
[21:29:47] [INFO] received Windows console close event; shutting log-core down
[21:41:47] [INFO] received Windows console close event; shutting log-core down
[21:51:51] [INFO] received Windows console close event; shutting log-core down
[21:59:12] [INFO] received Windows console close event; shutting log-core down
[22:11:26] [INFO] received Windows console close event; shutting log-core down
[22:46:23] [INFO] received Windows console close event; shutting log-core down
[22:48:09] [INFO] received Windows console close event; shutting log-core down
[23:01:19] [INFO] received Windows console close event; shutting log-core down
